92 642
22 61 72
61 88 71
88 81 8
81 2 55
2 85 84
85 6 -30
6 54 21
54 74 -78
74 34 -36
34 10 53
10 59 62
59 46 87
46 8 -76
8 23 38
23 39 66
39 50 -41
50 41 23
41 58 -46
58 21 10
21 33 -96
33 71 -98
71 64 -60
64 62 -32
62 75 -80
75 67 58
67 31 0
31 83 -68
83 45 -85
45 28 19
28 87 68
87 89 -95
89 17 -16
17 15 55
15 91 21
91 40 -89
40 26 14
26 63 -36
63 29 59
29 14 -81
14 78 16
78 51 40
51 60 -95
60 27 -18
27 52 -62
52 72 37
72 68 -40
68 47 -13
47 20 -68
20 3 -91
3 84 -95
84 4 -83
4 43 23
43 77 -12
77 18 -34
18 57 -7
57 16 5
16 38 58
38 76 20
76 12 -12
12 36 72
36 11 92
11 1 -37
1 25 -32
25 13 -38
13 69 92
69 73 33
73 90 75
90 0 45
0 30 -71
30 56 -2
56 35 -7
35 55 29
55 65 83
65 42 -99
42 24 -40
24 66 -77
66 5 15
5 86 -28
86 48 -12
48 19 -6
19 9 -1
9 32 95
32 37 42
37 53 -88
53 7 -61
7 49 75
49 70 -17
70 79 13
79 44 91
44 80 -70
80 82 -76
44 59 -1
49 8 -81
1 30 74
75 9 77
87 3 -67
83 13 53
37 80 16
7 32 76
62 46 -52
6 87 26
37 50 88
3 5 -48
81 4 -69
55 76 -8
9 34 4
46 88 -5
55 32 -59
33 32 99
38 59 -37
5 28 46
31 4 33
76 74 85
46 87 66
89 72 17
3 44 11
59 90 11
87 66 66
38 81 -97
76 51 -63
65 15 96
62 21 66
89 61 96
83 85 -87
79 47 8
73 58 93
35 33 -2
15 26 90
10 64 98
82 2 82
42 26 82
47 90 -82
3 46 -57
1 67 44
28 45 27
25 1 55
75 57 -97
36 64 30
50 12 59
83 70 -53
8 41 40
8 25 -95
75 91 98
45 59 43
7 51 -79
24 24 87
37 15 -61
68 71 -86
48 66 58
85 45 -24
19 28 -51
50 87 23
52 46 76
56 61 76
84 65 -31
42 77 10
82 64 -12
76 69 -81
80 29 100
49 31 19
52 15 55
62 84 -4
49 29 70
2 35 -11
90 1 18
79 15 5
44 1 31
2 75 -32
75 41 -16
91 4 -15
24 58 92
31 34 18
7 40 -55
35 68 -52
17 11 68
63 44 -39
13 65 -2
80 89 20
21 62 -95
47 3 -95
59 42 78
89 11 77
80 10 -90
69 16 54
11 88 67
47 78 -26
6 43 -2
29 13 89
39 10 34
15 66 -67
30 14 88
83 14 54
36 70 -59
73 90 -95
16 87 -68
75 65 27
54 68 -30
51 89 -18
23 31 26
25 60 94
67 63 -74
23 57 73
28 57 84
80 38 -65
89 56 -63
69 40 -32
41 75 27
75 27 -54
10 23 -60
43 77 -48
77 41 44
76 17 -65
39 17 61
19 31 -31
19 7 -67
53 88 -23
51 40 72
67 69 3
62 59 -90
37 3 -84
45 66 27
34 55 -85
85 88 28
69 23 -19
30 41 -9
70 90 49
27 36 37
34 72 57
20 65 51
68 34 -21
69 16 41
13 58 99
12 87 44
60 27 -27
18 75 100
33 9 38
88 9 73
18 12 42
78 61 32
11 81 13
29 70 -3
9 29 71
2 56 -37
4 23 92
61 63 -96
86 14 59
50 10 -69
59 85 -19
43 38 -85
63 61 99
4 84 96
49 81 -6
5 27 -20
65 36 41
89 71 -56
50 3 27
32 53 57
2 51 -50
19 6 22
40 64 41
36 46 8
83 13 -8
86 60 81
6 20 97
46 70 65
10 75 58
78 38 61
6 67 -7
1 15 -89
8 21 49
83 15 -97
59 36 -3
50 81 24
10 48 53
38 30 -73
38 23 13
72 25 37
63 0 -68
72 8 -6
66 65 -97
36 43 42
40 83 88
64 20 22
69 89 -35
46 9 13
27 34 78
83 39 51
66 24 64
47 37 12
14 75 34
82 52 -7
12 33 82
89 42 -70
9 79 20
34 46 -86
13 37 46
36 34 -59
13 37 7
52 63 -25
15 41 15
62 83 -59
73 2 46
74 10 27
5 6 -8
30 28 -93
9 39 64
50 13 81
10 44 75
85 50 -11
14 20 -10
29 73 -27
34 50 15
10 18 -95
14 87 80
3 73 19
78 69 21
14 21 -24
41 5 -13
25 91 -89
81 56 -7
30 69 -63
88 67 24
70 77 -75
91 43 29
75 86 15
16 91 37
86 24 81
41 11 -57
59 10 45
64 56 -13
0 22 100
37 45 70
27 36 -39
7 84 98
62 22 -46
19 13 -59
41 59 -56
28 89 -30
47 39 37
65 17 1
63 22 20
7 23 7
45 89 92
32 31 42
12 11 -16
85 56 96
75 72 91
47 72 89
49 5 22
32 80 -70
72 33 74
12 9 -14
79 2 -48
20 38 -73
21 34 55
56 78 86
16 25 -24
5 86 30
40 64 90
34 73 33
14 63 -35
64 33 52
66 3 -30
67 52 62
20 63 98
48 51 54
