80 299
59 78 84
78 45 5
45 40 92
40 68 57
68 21 15
21 11 14
11 5 90
5 28 25
28 48 44
48 20 -4
20 6 69
6 36 66
36 53 30
53 65 29
65 0 2
0 55 42
55 33 48
33 22 98
22 57 69
57 47 68
47 7 75
7 51 74
51 64 27
64 70 48
70 2 47
2 49 99
49 63 48
63 24 98
24 16 -1
16 25 61
25 67 73
67 34 84
34 46 30
46 29 99
29 26 62
26 74 88
74 42 98
42 9 7
9 41 51
41 77 58
77 50 47
50 31 12
31 61 65
61 79 18
79 72 78
72 8 30
8 27 1
27 13 21
13 10 3
10 14 63
14 39 19
39 69 24
69 52 49
52 12 63
12 15 61
15 54 58
54 37 80
37 76 53
76 4 41
4 30 13
30 44 56
44 43 41
43 73 85
73 1 5
1 56 68
56 19 79
19 23 39
23 75 81
75 38 60
38 60 79
60 71 -4
71 17 53
17 35 17
35 58 99
58 66 29
66 62 5
62 3 32
3 32 68
32 18 14
27 32 22
59 0 49
48 28 51
39 11 51
67 48 37
25 39 23
20 35 39
16 67 1
54 0 4
48 38 29
29 4 21
14 10 44
12 59 86
22 44 60
59 49 56
77 26 63
67 49 22
19 34 22
44 76 26
58 76 45
32 6 -4
75 28 19
8 62 85
13 75 27
56 62 71
44 49 89
64 72 48
36 26 97
42 55 5
25 72 98
35 57 49
34 3 35
79 22 10
53 53 90
33 33 77
55 34 44
21 22 59
35 66 3
51 68 6
32 17 12
8 14 69
76 17 71
43 50 63
49 53 82
19 2 1
2 49 15
9 54 31
34 26 28
54 12 69
53 63 76
78 13 84
55 59 20
24 59 38
67 16 5
5 72 71
68 36 22
15 75 58
36 12 41
78 69 23
16 44 77
46 6 74
5 14 62
28 58 95
24 77 -4
62 44 90
52 25 10
2 4 86
55 70 71
48 15 27
61 29 84
59 62 8
52 52 29
19 1 18
5 10 74
39 68 86
28 60 30
18 0 7
68 4 42
45 10 29
16 60 6
64 66 -1
39 73 41
45 56 64
65 67 93
38 45 -1
38 79 45
68 56 77
58 78 78
59 9 -3
2 49 20
38 67 59
63 21 52
70 26 55
3 44 95
8 23 72
36 6 -3
65 72 89
17 53 41
28 77 92
64 48 73
78 65 48
32 14 23
49 42 81
51 35 -5
31 64 81
0 25 28
74 67 50
5 22 69
33 15 14
37 28 78
46 70 98
0 41 82
41 26 83
51 54 24
64 37 98
16 29 9
17 5 78
14 49 9
32 70 10
57 33 90
37 17 75
65 73 100
2 56 79
72 14 9
10 73 -2
12 27 80
61 24 8
46 5 18
78 67 69
34 50 7
39 20 88
58 72 95
22 69 83
19 78 20
79 15 84
70 71 77
20 37 85
55 6 66
12 38 28
5 28 31
40 21 62
44 65 61
37 17 66
58 73 25
73 13 83
33 15 24
16 61 38
59 64 54
19 11 78
2 46 61
47 40 80
23 68 32
3 40 23
6 58 60
40 46 65
5 63 84
18 76 59
55 36 88
68 19 79
30 35 26
79 21 10
65 54 51
58 34 42
61 37 63
32 35 15
78 38 47
45 53 85
53 7 70
26 70 9
1 10 78
68 37 12
35 53 42
31 11 52
33 11 23
9 51 15
22 67 -3
8 36 15
39 77 85
21 23 36
11 69 52
19 55 66
43 45 93
41 24 16
29 15 77
15 25 17
43 77 85
32 44 52
60 15 11
70 43 61
76 45 35
20 18 57
44 8 78
27 37 23
70 59 17
30 30 73
0 64 74
4 2 98
26 28 53
66 36 83
72 28 71
25 12 92
6 59 93
11 56 81
57 26 63
30 25 -2
28 34 11
3 69 19
43 16 17
14 21 42
15 55 75
22 59 99
24 20 86
57 16 59
64 24 74
55 45 74
51 28 49
64 26 0
71 10 79
19 59 54
38 7 98
