92 642
22 61 3
61 88 21
88 81 91
81 2 34
2 85 97
85 6 31
6 54 32
54 74 100
74 34 34
34 10 84
10 59 97
59 46 56
46 8 30
8 23 96
23 39 77
39 50 42
50 41 23
41 58 46
58 21 56
21 33 35
33 71 26
71 64 57
64 62 19
62 75 21
75 67 79
67 31 -5
31 83 62
83 45 75
45 28 22
28 87 62
87 89 43
89 17 61
17 15 86
15 91 63
91 40 2
40 26 54
26 63 45
63 29 83
29 14 35
14 78 9
78 51 67
51 60 90
60 27 94
27 52 73
52 72 0
72 68 65
68 47 44
47 20 93
20 3 4
3 84 51
84 4 92
4 43 18
43 77 12
77 18 99
18 57 35
57 16 15
16 38 50
38 76 22
76 12 12
12 36 39
36 11 32
11 1 72
1 25 1
25 13 38
13 69 98
69 73 43
73 90 48
90 0 98
0 30 66
30 56 14
56 35 17
35 55 66
55 65 2
65 42 54
42 24 2
24 66 69
66 5 34
5 86 94
86 48 64
48 19 61
19 9 41
9 32 80
32 37 4
37 53 57
53 7 56
7 49 84
49 70 40
70 79 30
79 44 56
44 80 72
80 82 35
44 59 35
49 8 82
1 30 10
75 9 55
87 3 33
83 13 5
37 80 47
7 32 96
62 46 60
6 87 54
37 50 33
3 5 -2
81 4 43
55 76 100
9 34 21
46 88 66
55 32 82
33 32 90
38 59 8
5 28 32
31 4 70
76 74 15
46 87 86
89 72 11
3 44 79
59 90 20
87 66 -4
38 81 27
76 51 35
65 15 88
62 21 61
89 61 -1
83 85 99
79 47 72
73 58 37
35 33 100
15 26 29
10 64 65
82 2 48
42 26 78
47 90 32
3 46 92
1 67 41
28 45 45
25 1 12
75 57 52
36 64 39
50 12 67
83 70 44
8 41 38
8 25 58
75 91 35
45 59 -1
7 51 22
24 24 4
37 15 -1
68 71 70
48 66 21
85 45 1
19 28 18
50 87 95
52 46 87
56 61 78
84 65 -5
42 77 41
82 64 33
76 69 88
80 29 44
49 31 7
52 15 43
62 84 32
49 29 87
2 35 31
90 1 39
79 15 80
44 1 41
2 75 47
75 41 8
91 4 80
24 58 5
31 34 23
7 40 84
35 68 64
17 11 27
63 44 22
13 65 4
80 89 24
21 62 87
47 3 59
59 42 43
89 11 65
80 10 0
69 16 57
11 88 10
47 78 40
6 43 9
29 13 6
39 10 60
15 66 60
30 14 28
83 14 41
36 70 65
73 90 48
16 87 98
75 65 75
54 68 65
51 89 -5
23 31 30
25 60 74
67 63 0
23 57 25
28 57 53
80 38 92
89 56 35
69 40 65
41 75 36
75 27 88
10 23 11
43 77 89
77 41 60
76 17 52
39 17 74
19 31 5
19 7 9
53 88 97
51 40 93
67 69 87
62 59 84
37 3 -2
45 66 19
34 55 53
85 88 52
69 23 82
30 41 -2
70 90 69
27 36 36
34 72 14
20 65 64
68 34 28
69 16 38
13 58 81
12 87 35
60 27 61
18 75 16
33 9 39
88 9 71
18 12 98
78 61 21
11 81 34
29 70 70
9 29 83
2 56 -5
4 23 32
61 63 94
86 14 63
50 10 63
59 85 15
43 38 9
63 61 73
4 84 75
49 81 -5
5 27 40
65 36 44
89 71 80
50 3 12
32 53 97
2 51 73
19 6 91
40 64 3
36 46 0
83 13 75
86 60 100
6 20 12
46 70 71
10 75 76
78 38 28
6 67 46
1 15 33
8 21 95
83 15 26
59 36 7
50 81 27
10 48 15
38 30 75
38 23 10
72 25 19
63 0 1
72 8 92
66 65 4
36 43 31
40 83 83
64 20 13
69 89 83
46 9 23
27 34 89
83 39 11
66 24 -3
47 37 62
14 75 84
82 52 68
12 33 81
89 42 13
9 79 33
34 46 18
13 37 84
36 34 44
13 37 32
52 63 0
15 41 88
62 83 13
73 2 24
74 10 74
5 6 34
30 28 49
9 39 16
50 13 33
10 44 80
85 50 62
14 20 34
29 73 100
34 50 67
10 18 61
14 87 98
3 73 59
78 69 45
14 21 26
41 5 5
25 91 9
81 56 0
30 69 48
88 67 67
70 77 26
91 43 90
75 86 24
16 91 45
86 24 11
41 11 21
59 10 66
64 56 2
0 22 40
37 45 63
27 36 99
7 84 80
62 22 64
19 13 5
41 59 28
28 89 53
47 39 68
65 17 44
63 22 51
7 23 93
45 89 86
32 31 85
12 11 75
85 56 69
75 72 6
47 72 65
49 5 75
32 80 31
72 33 51
12 9 9
79 2 18
20 38 95
21 34 48
56 78 8
16 25 71
5 86 71
40 64 82
34 73 43
14 63 1
64 33 75
66 3 8
67 52 69
20 63 100
48 51 96
55 67 7
41 87 28
86 23 46
49 43 30
23 9 58
14 88 -1
19 57 50
34 72 97
88 12 56
2 52 90
70 47 51
13 34 40
81 28 3
60 85 49
17 75 64
77 48 33
41 31 78
78 29 3
70 15 67
0 16 76
13 47 75
75 58 76
65 71 18
15 32 16
34 83 0
88 23 88
86 51 -5
61 3 84
14 38 39
17 34 99
28 90 30
8 62 -1
29 32 30
5 30 88
70 79 30
53 5 57
12 55 82
29 12 71
89 68 27
75 56 69
46 5 87
27 37 72
5 1 91
25 39 41
9 7 1
86 78 0
55 51 53
31 56 90
2 62 27
55 82 54
44 80 70
26 47 43
76 88 100
48 84 52
1 52 43
60 28 -5
58 81 74
68 33 80
23 69 24
35 7 61
41 34 60
52 20 45
23 0 50
73 85 18
0 46 91
1 64 37
88 88 94
44 66 89
16 4 21
75 49 70
84 90 52
81 23 5
63 61 39
60 22 43
13 1 60
71 36 48
52 55 46
84 78 -1
2 40 49
69 33 39
57 37 53
23 62 66
1 38 53
48 81 59
52 24 10
48 82 24
42 73 30
14 43 82
58 70 33
21 35 66
8 1 71
54 5 24
57 44 74
47 48 9
10 66 26
57 53 9
60 34 77
24 16 33
17 69 79
5 38 87
77 58 34
42 87 98
81 64 35
53 16 57
35 89 8
11 63 -5
22 44 42
45 76 32
52 25 89
34 61 82
27 58 80
78 50 86
41 2 53
31 36 8
88 72 17
84 86 8
87 64 -1
2 10 29
24 81 99
78 84 20
5 85 54
40 9 63
5 48 66
57 52 57
24 12 -4
26 4 20
69 14 5
58 42 40
49 66 55
83 38 37
61 62 44
70 31 84
54 15 96
17 42 88
91 21 94
39 7 74
86 66 23
47 52 91
90 9 15
7 80 75
11 33 30
0 79 29
29 89 68
11 36 56
77 7 64
3 12 80
62 18 48
86 47 18
15 65 32
42 78 69
48 85 48
88 0 52
18 51 3
76 3 46
64 45 76
10 80 12
12 86 2
2 58 66
35 71 83
50 75 46
8 70 98
17 42 43
3 39 -5
57 26 90
43 4 100
9 86 55
23 69 39
75 41 73
28 63 35
29 69 11
88 88 82
75 67 51
11 27 -5
83 56 50
42 54 47
4 19 20
27 58 77
89 82 84
70 28 48
20 40 52
55 68 65
77 84 91
58 44 32
63 75 76
19 57 1
49 53 51
54 20 4
87 23 67
23 78 20
70 12 58
21 81 66
42 17 52
75 32 49
46 68 92
79 53 75
27 10 70
64 1 23
24 67 30
44 52 37
44 62 59
86 79 90
43 90 -1
74 21 73
52 83 14
62 66 3
82 36 77
26 56 1
45 34 36
38 88 -2
75 18 -3
9 43 45
57 64 48
31 60 82
6 3 75
45 86 15
61 80 96
43 29 87
31 31 14
58 6 40
13 26 97
0 31 97
26 61 18
78 9 84
29 59 70
23 38 47
23 36 78
91 11 23
20 73 33
53 14 78
9 13 42
31 75 36
80 5 98
2 1 96
55 67 71
24 13 98
57 24 9
71 28 49
66 0 4
78 43 90
46 33 29
70 60 16
32 12 51
27 26 95
88 75 44
3 28 74
41 22 13
34 47 38
28 71 61
34 91 80
3 58 94
37 42 2
28 72 25
42 87 1
71 28 72
59 78 55
57 22 43
49 77 29
10 86 59
28 85 42
7 79 71
10 22 96
72 73 8
32 41 11
41 31 62
25 34 90
73 77 64
48 75 45
