53 959
43 38 -29
38 13 -32
13 8 53
8 42 -70
42 32 -83
32 1 -50
1 46 31
46 7 1
7 4 -85
4 17 16
17 28 74
28 49 95
49 25 -30
25 10 89
10 33 89
33 31 -67
31 0 70
0 20 -74
20 37 -78
37 51 -73
51 44 19
44 2 17
2 26 97
26 48 4
48 18 97
18 23 -27
23 29 -4
29 5 -48
5 40 -14
40 14 81
14 30 -42
30 36 -48
36 47 54
47 52 96
52 3 77
3 24 -28
24 50 -53
50 15 -10
15 27 6
27 34 96
34 39 51
39 19 -12
19 21 99
21 12 66
12 9 -69
9 35 -61
35 6 -29
6 16 29
16 45 -56
45 22 -62
22 11 -82
11 41 -33
37 50 19
25 48 -93
12 38 94
46 5 9
27 18 51
51 22 -32
41 33 -10
34 25 11
35 43 -93
32 35 -65
3 44 67
30 7 -73
26 37 28
51 48 52
22 45 21
26 31 -59
25 13 -68
15 47 -14
37 40 79
17 38 32
45 14 60
32 19 89
7 42 -17
14 45 -50
8 12 -63
34 25 -36
33 35 -24
4 2 -34
3 0 15
5 17 10
40 46 96
37 27 23
45 11 -63
28 10 24
19 17 4
18 40 81
19 14 -45
0 29 25
6 13 78
25 38 39
19 37 0
50 8 -83
29 10 36
41 8 -86
35 30 -22
15 18 40
47 40 -18
41 39 -10
1 2 2
16 2 92
2 14 96
32 30 0
3 32 -100
10 11 45
51 49 -34
52 4 -19
50 21 95
52 39 -36
18 27 -81
42 27 75
1 35 61
16 47 98
28 38 -85
35 17 53
19 11 -3
43 4 -8
40 37 44
8 52 39
44 42 -47
39 34 44
38 14 -70
40 45 -87
11 2 4
16 22 -98
29 15 -83
27 18 -59
49 7 -29
26 49 75
51 7 -96
17 10 99
0 27 39
21 8 91
26 48 -68
26 15 63
40 49 -4
42 6 -23
9 37 -21
8 40 69
42 48 10
24 17 8
46 18 84
25 20 56
1 5 94
35 49 46
48 6 43
4 22 -95
43 17 8
47 34 -74
12 15 -44
18 9 -17
4 52 54
28 24 97
48 8 -39
42 21 -29
10 40 17
52 44 47
25 41 -55
19 7 9
26 13 28
29 14 95
4 5 21
40 8 -42
42 28 67
13 6 42
1 2 -38
45 50 -17
14 37 29
7 18 -42
23 12 -94
13 52 77
46 15 84
18 40 -97
6 24 32
38 30 84
46 12 -100
18 44 -84
22 51 86
27 30 86
31 5 -1
43 30 22
31 43 -46
45 16 -51
6 10 -1
25 41 62
24 11 -64
3 21 2
46 22 -60
27 21 8
10 39 16
36 51 65
43 10 99
17 8 60
13 31 -79
45 5 81
12 48 -85
16 22 -99
24 37 35
27 25 75
43 12 -12
19 25 58
40 52 9
8 6 -81
32 50 -72
39 28 -44
35 52 9
32 6 79
1 47 -16
48 32 -56
41 24 19
19 21 -68
16 19 11
39 35 -11
15 44 -84
34 25 -88
45 22 44
26 49 -3
31 29 14
2 40 30
0 46 -95
13 52 -65
41 36 -92
38 20 5
33 42 34
45 48 99
29 27 -30
36 7 41
39 50 47
33 50 -89
50 29 59
30 17 -14
25 9 -6
13 41 -61
38 49 -79
30 23 -59
33 21 -17
26 50 -48
15 40 -82
34 31 -93
45 49 -47
33 8 -31
50 1 -4
22 17 43
20 20 -90
2 21 21
16 38 -9
23 41 5
41 12 -41
40 8 -27
38 14 -99
38 45 -68
21 34 55
18 5 62
51 39 68
28 2 63
45 13 12
17 9 -46
20 18 91
11 20 46
22 48 -70
26 51 14
38 39 27
4 1 -84
27 16 79
0 30 56
23 45 38
32 22 -55
33 13 -100
3 37 -17
26 40 -63
33 8 -22
3 21 -46
34 13 24
1 48 -73
30 19 45
48 23 -17
24 31 -9
12 1 -2
20 22 94
33 43 39
14 44 38
39 42 76
52 41 34
46 4 -53
13 8 -73
26 39 -4
7 43 18
28 8 -61
32 24 -51
52 47 -7
40 32 -54
22 15 61
1 7 44
28 13 -15
3 11 4
39 37 -10
41 47 69
47 16 -71
22 38 -34
15 49 -45
18 47 28
23 34 -96
14 13 38
15 35 42
15 3 -71
33 10 -99
29 28 8
44 38 -64
11 37 94
47 12 24
31 10 -5
21 37 90
13 39 42
20 31 -1
28 1 88
37 33 -29
20 23 -35
25 35 73
10 40 -6
32 33 22
52 9 10
7 36 -64
35 28 48
35 4 -52
4 51 -79
27 1 58
27 28 -61
36 31 8
44 18 16
31 21 -75
14 52 93
40 29 33
46 0 -29
28 52 -60
2 36 -14
26 20 -9
15 18 -94
9 48 -31
21 41 64
15 25 84
44 17 -5
30 38 25
38 9 57
16 30 48
3 37 32
12 21 86
12 18 -99
12 43 -80
2 44 87
29 48 -50
12 9 63
33 10 -3
34 35 45
11 4 -34
15 17 86
4 23 -75
5 48 73
16 47 27
21 0 -58
10 28 -92
21 0 -65
47 0 -68
2 27 48
15 39 54
7 46 -32
2 26 25
34 17 62
30 47 95
15 44 -31
13 24 -50
44 12 -30
10 34 -32
46 11 63
11 30 23
4 26 -19
7 32 -40
1 31 30
49 26 -77
51 19 -76
13 18 27
40 36 -85
25 16 -60
46 51 28
28 11 -79
11 43 -32
20 10 87
33 32 44
42 31 -57
42 39 10
25 34 -41
37 38 -11
2 38 10
42 50 66
24 43 31
24 4 1
3 29 -63
38 12 97
15 31 9
38 6 44
2 19 -30
33 42 -82
48 38 39
6 39 -74
39 7 -53
11 38 -42
12 50 -91
13 49 19
31 37 -4
15 10 79
21 50 75
28 50 55
7 7 -83
47 6 -37
14 16 31
44 19 49
35 7 -37
50 38 82
7 25 69
51 10 -47
28 49 -30
34 33 -55
14 48 -20
4 41 -3
46 20 -66
18 41 29
43 15 56
44 45 -24
28 28 37
12 38 100
10 2 8
10 14 67
41 14 -61
39 37 -42
4 21 -9
22 18 -1
31 5 3
40 18 39
12 41 52
2 13 -49
29 12 33
26 23 0
50 34 64
42 22 20
10 7 57
40 52 30
18 42 77
50 7 22
12 27 15
14 41 86
32 7 62
18 4 94
49 15 -12
39 48 -26
20 16 87
25 48 25
10 8 29
0 33 44
51 9 18
20 27 20
21 51 -80
30 31 36
22 6 14
36 19 -11
16 26 60
43 4 78
39 40 -64
35 14 70
9 20 -77
35 51 -46
0 4 72
37 5 -89
48 16 89
48 31 5
35 37 -17
13 26 9
2 38 -85
5 10 7
31 32 -3
31 34 -8
2 16 83
28 33 59
47 36 -28
8 38 -31
11 30 6
32 28 -99
37 5 -63
39 34 76
9 27 -47
16 16 -73
5 1 100
32 21 44
50 33 -33
21 11 47
4 9 86
27 44 37
29 14 -97
46 37 70
10 1 -29
13 10 81
51 31 -67
23 45 46
42 30 77
12 34 -25
4 42 74
26 44 -97
37 17 98
25 8 45
41 1 -12
43 19 98
43 50 -18
5 30 -58
18 38 -96
41 9 98
49 35 86
36 2 -50
17 5 49
21 2 4
45 34 76
39 44 94
30 15 -98
6 10 81
7 50 47
20 2 -10
45 38 -12
10 19 -26
50 13 -60
15 45 -40
1 21 -49
7 18 -88
17 41 -40
18 39 15
48 14 61
44 7 -48
17 20 29
19 48 -41
39 11 39
17 0 -98
42 39 46
8 12 -10
1 46 -4
9 10 -23
15 9 97
2 48 3
26 48 -85
47 3 73
30 20 47
2 44 32
39 23 -39
1 36 79
31 31 96
44 35 -30
44 46 -35
43 37 -84
17 1 -25
52 23 52
21 25 3
13 10 -61
41 32 -21
2 38 66
22 28 11
27 16 -23
30 47 -60
12 10 -100
25 27 -42
33 7 -2
48 15 -28
3 12 25
1 33 -52
22 14 5
14 39 21
3 46 -43
7 5 67
10 27 32
38 46 67
50 38 51
52 30 91
12 38 62
7 25 83
10 35 72
35 6 2
22 16 -7
20 21 66
4 44 -60
29 43 -29
0 10 19
