80 299
59 78 -63
78 45 54
45 40 -13
40 68 -35
68 21 81
21 11 -20
11 5 -84
5 28 -47
28 48 -65
48 20 -9
20 6 -68
6 36 71
36 53 -64
53 65 59
65 0 -40
0 55 -42
55 33 -98
33 22 -77
22 57 -77
57 47 -19
47 7 -84
7 51 56
51 64 -46
64 70 -2
70 2 41
2 49 45
49 63 39
63 24 -10
24 16 19
16 25 -50
25 67 50
67 34 60
34 46 -7
46 29 -6
29 26 27
26 74 -93
74 42 -75
42 9 34
9 41 -87
41 77 73
77 50 26
50 31 -91
31 61 95
61 79 -1
79 72 -100
72 8 57
8 27 -79
27 13 80
13 10 13
10 14 74
14 39 22
39 69 -72
69 52 40
52 12 45
12 15 70
15 54 5
54 37 -16
37 76 -100
76 4 -97
4 30 39
30 44 86
44 43 16
43 73 78
73 1 -3
1 56 36
56 19 -36
19 23 22
23 75 70
75 38 68
38 60 -51
60 71 59
71 17 -42
17 35 29
35 58 -84
58 66 -87
66 62 -31
62 3 74
3 32 25
32 18 -2
27 32 61
59 0 -5
48 28 -3
39 11 48
67 48 -34
25 39 -69
20 35 59
16 67 -89
54 0 48
48 38 84
29 4 37
14 10 -11
12 59 51
22 44 -79
59 49 69
77 26 -20
67 49 36
19 34 64
44 76 52
58 76 70
32 6 -98
75 28 -6
8 62 35
13 75 -99
56 62 69
44 49 6
64 72 -86
36 26 40
42 55 90
25 72 -34
35 57 31
34 3 91
79 22 21
53 53 -82
33 33 -100
55 34 56
21 22 43
35 66 88
51 68 -25
32 17 43
8 14 18
76 17 -37
43 50 -27
49 53 -70
19 2 89
2 49 2
9 54 77
34 26 82
54 12 -73
53 63 -4
78 13 1
55 59 -42
24 59 7
67 16 -95
5 72 -42
68 36 78
15 75 -77
36 12 -68
78 69 -2
16 44 -45
46 6 39
5 14 84
28 58 62
24 77 -48
62 44 -29
52 25 24
2 4 95
55 70 -4
48 15 -34
61 29 -15
59 62 -67
52 52 -74
19 1 93
5 10 -18
39 68 -71
28 60 10
18 0 65
68 4 -78
45 10 -25
16 60 -8
64 66 26
39 73 21
45 56 -43
65 67 80
38 45 -41
38 79 -93
68 56 72
58 78 -96
59 9 41
2 49 95
38 67 6
63 21 -24
70 26 -80
3 44 95
8 23 92
36 6 5
65 72 -59
17 53 -67
28 77 -78
64 48 30
78 65 52
32 14 -50
49 42 63
51 35 -44
31 64 27
0 25 -6
74 67 77
5 22 -22
33 15 -58
37 28 74
46 70 56
0 41 -72
41 26 56
51 54 65
64 37 -15
16 29 21
17 5 14
14 49 100
32 70 70
57 33 78
37 17 -35
65 73 -31
2 56 -70
72 14 2
10 73 -64
12 27 60
61 24 59
46 5 68
78 67 -58
34 50 96
39 20 -48
58 72 -3
22 69 91
19 78 61
79 15 16
70 71 -69
20 37 -45
55 6 92
12 38 21
5 28 96
40 21 -55
44 65 -11
37 17 -83
58 73 -89
73 13 -80
33 15 -86
16 61 -46
59 64 95
19 11 91
2 46 -84
47 40 -44
23 68 86
3 40 3
6 58 67
40 46 -20
5 63 29
18 76 -57
55 36 -25
68 19 32
30 35 -43
79 21 -33
65 54 23
58 34 -27
61 37 57
32 35 -62
78 38 -72
45 53 -42
53 7 35
26 70 -36
1 10 17
68 37 -31
35 53 98
31 11 -20
33 11 -60
9 51 90
22 67 -49
8 36 72
39 77 -5
21 23 -38
11 69 83
19 55 -21
43 45 -47
41 24 64
29 15 15
15 25 40
43 77 -49
32 44 -25
60 15 -54
70 43 81
76 45 -1
20 18 -3
44 8 86
27 37 -51
70 59 58
30 30 -14
0 64 35
4 2 -78
26 28 -99
66 36 -20
72 28 45
25 12 -72
6 59 -53
11 56 -45
57 26 20
30 25 6
28 34 -54
3 69 9
43 16 50
14 21 -49
15 55 -31
22 59 -78
24 20 68
57 16 -56
64 24 -65
55 45 37
51 28 -59
64 26 -75
71 10 26
19 59 -40
38 7 -59
