73 493
59 61 50
61 44 98
44 36 95
36 37 54
37 43 -5
43 17 4
17 3 23
3 0 35
0 52 67
52 34 80
34 35 82
35 20 3
20 72 67
72 65 63
65 46 4
46 69 90
69 28 71
28 6 34
6 12 29
12 31 41
31 42 34
42 27 14
27 70 -2
70 67 28
67 68 -1
68 39 44
39 41 8
41 33 82
33 8 29
8 58 87
58 62 56
62 38 81
38 56 82
56 18 42
18 60 18
60 5 17
5 30 81
30 45 39
45 55 64
55 11 8
11 51 58
51 2 65
2 15 -1
15 29 -3
29 24 71
24 40 -5
40 32 28
32 63 9
63 47 37
47 71 25
71 25 14
25 7 61
7 23 42
23 13 83
13 4 26
4 10 60
10 16 9
16 54 26
54 14 60
14 64 2
64 26 78
26 19 29
19 9 78
9 48 75
48 21 53
21 57 13
57 1 85
1 53 20
53 50 54
50 22 6
22 49 71
49 66 72
62 44 59
7 2 13
13 16 18
18 49 54
53 58 2
72 4 46
31 62 -2
29 63 54
70 62 25
25 68 4
15 51 18
56 29 63
70 0 99
3 21 42
65 60 71
30 33 15
51 54 18
54 1 68
70 7 25
35 32 26
25 47 24
22 17 3
8 55 44
19 39 29
67 69 36
61 42 42
65 4 17
32 42 10
7 10 85
40 72 64
21 11 91
63 48 49
62 63 -2
25 5 34
48 45 54
27 31 61
42 18 -1
5 71 84
50 15 94
26 11 91
8 30 80
26 36 56
67 0 84
7 14 79
46 55 28
23 72 -3
18 70 55
42 46 2
64 57 54
2 38 0
36 61 42
5 67 72
34 15 99
4 54 81
19 65 50
35 21 40
41 55 95
50 11 22
35 45 31
28 22 47
15 43 80
35 36 73
29 61 99
38 23 29
42 52 83
27 56 5
31 3 46
51 66 86
69 26 17
72 13 43
71 63 39
15 12 38
21 18 40
1 19 74
0 23 98
60 66 76
40 20 19
62 20 46
54 43 77
16 55 1
67 65 29
52 17 41
65 32 66
31 61 55
3 61 98
25 40 10
52 17 16
56 52 71
36 54 8
7 54 71
17 10 -5
67 59 99
63 17 71
12 51 18
2 21 65
16 21 58
31 19 42
64 13 66
1 0 97
0 2 32
57 29 9
45 26 83
29 40 -3
39 64 20
48 28 96
10 45 88
60 5 1
25 29 33
22 66 72
46 43 49
54 9 88
31 29 65
70 58 27
72 61 52
66 44 92
0 56 68
14 53 39
15 55 37
10 66 75
20 24 -5
27 39 50
50 57 80
64 49 16
13 65 71
20 38 21
15 66 91
59 1 33
47 65 -4
57 17 53
13 47 -1
8 43 18
20 54 88
46 14 16
58 48 -4
53 46 3
0 68 80
44 65 61
20 13 33
53 26 100
70 47 42
70 39 100
57 7 95
67 42 2
58 27 88
43 55 98
2 3 11
25 72 10
20 66 77
32 36 23
29 3 30
38 19 19
39 70 56
56 64 30
40 17 55
39 26 23
37 37 30
21 33 49
57 9 14
5 14 83
28 30 88
49 58 74
50 27 98
5 1 95
35 10 89
60 3 74
4 22 41
56 34 58
36 19 27
31 69 26
70 70 63
69 69 67
9 15 4
45 38 80
49 37 38
26 71 20
44 51 3
63 41 12
30 60 26
48 14 0
46 65 41
11 17 45
15 59 30
46 1 97
58 42 99
35 22 73
59 67 91
9 63 24
35 12 82
18 55 95
2 3 14
3 5 84
22 2 76
39 65 75
9 15 73
29 0 57
41 57 28
5 52 93
62 62 42
72 1 48
24 25 76
65 59 3
8 55 55
56 40 62
69 67 64
46 53 78
0 36 43
40 71 26
34 3 -3
64 21 34
13 40 18
65 18 95
53 48 21
2 37 70
0 64 71
66 66 100
62 63 11
27 45 52
23 59 42
44 60 42
15 38 53
28 35 97
51 4 29
0 33 59
59 62 47
47 51 16
29 47 26
23 18 55
36 25 33
8 68 62
13 48 2
12 9 26
43 68 88
44 34 100
3 61 94
55 43 48
5 12 97
19 41 74
49 13 -4
32 16 89
55 38 97
15 2 59
11 24 99
5 25 100
64 49 57
14 35 66
59 2 17
69 11 8
56 54 63
56 21 98
48 20 38
26 30 42
17 4 40
34 32 -1
23 56 3
19 67 61
12 37 49
72 8 87
69 51 19
11 16 1
32 51 69
58 21 81
9 67 100
55 20 61
65 8 97
52 17 33
18 37 -4
22 17 8
55 27 52
28 67 18
64 11 55
34 62 36
19 27 40
62 2 11
8 59 26
5 10 48
68 50 89
26 63 94
27 54 0
10 24 74
39 53 24
49 22 11
4 40 45
29 53 82
71 11 41
53 54 61
28 17 42
31 5 56
44 24 63
62 27 39
13 27 97
51 64 69
31 10 41
28 30 36
22 3 38
5 68 43
0 44 42
70 30 4
22 16 65
67 48 60
33 8 54
45 20 13
26 3 62
2 71 77
10 40 40
65 14 28
45 26 54
54 14 97
17 66 42
60 0 35
25 52 66
60 11 37
35 32 5
50 14 31
63 19 43
64 60 87
0 26 47
53 7 32
0 32 4
67 59 57
32 49 20
44 46 91
10 68 22
29 19 38
38 8 100
72 14 58
21 35 16
22 12 1
62 23 9
3 15 37
24 30 46
51 30 69
65 39 54
65 60 0
50 60 11
48 28 13
27 17 46
54 61 52
42 66 63
50 2 -1
33 11 42
67 41 75
4 59 63
24 52 93
14 18 81
5 71 54
67 5 33
54 21 99
49 38 30
43 60 57
6 25 15
12 26 0
15 41 59
14 72 92
65 41 99
63 17 53
69 72 19
2 26 11
5 2 89
55 5 71
26 49 47
70 65 62
62 12 90
65 18 96
21 51 73
17 62 9
7 30 54
44 68 -3
21 0 6
47 10 90
30 27 38
53 42 98
26 6 92
18 60 98
49 18 29
51 16 75
22 54 62
70 26 5
67 63 -2
62 40 81
45 10 78
19 48 10
34 41 73
3 20 41
2 23 99
66 56 40
51 3 99
8 15 21
60 3 29
12 59 43
6 41 92
47 16 58
11 32 18
40 71 91
11 7 57
21 27 69
41 69 22
60 36 76
57 69 35
7 45 14
59 71 86
29 16 -2
39 66 94
3 62 8
40 37 81
11 53 67
10 67 100
0 26 93
49 54 73
67 15 25
33 41 96
54 68 18
36 2 14
21 7 25
39 25 21
23 36 62
45 49 83
14 16 26
34 50 55
44 28 59
22 18 25
3 16 35
