91 539
55 40 82
40 34 20
34 63 15
63 85 1
85 32 63
32 17 28
17 21 0
21 68 58
68 20 52
20 39 76
39 30 79
30 7 15
7 27 67
27 82 86
82 11 75
11 36 80
36 46 15
46 67 34
67 77 14
77 88 -5
88 15 93
15 22 11
22 6 100
6 1 60
1 56 92
56 37 4
37 79 77
79 47 25
47 43 35
43 13 40
13 29 81
29 65 90
65 31 64
31 28 12
28 61 93
61 71 -2
71 19 69
19 57 -3
57 84 85
84 12 82
12 64 95
64 66 75
66 14 33
14 10 44
10 60 82
60 80 88
80 5 96
5 9 82
9 24 92
24 62 82
62 87 96
87 74 100
74 44 0
44 73 86
73 53 1
53 51 48
51 83 33
83 23 57
23 78 31
78 75 47
75 41 93
41 89 84
89 18 13
18 72 47
72 86 44
86 49 -5
49 54 60
54 26 21
26 2 100
2 58 59
58 42 74
42 52 25
52 70 12
70 59 30
59 76 8
76 8 99
8 35 71
35 90 4
90 81 91
81 33 41
33 25 97
25 0 33
0 3 60
3 45 -5
45 38 86
38 16 53
16 4 99
4 48 8
48 69 65
69 50 48
88 28 55
75 57 -4
12 88 48
78 6 100
55 23 40
63 50 100
63 7 62
34 62 84
70 48 88
36 88 9
31 65 49
10 10 14
56 38 98
12 39 23
84 81 41
14 49 59
84 24 17
72 39 9
53 65 97
32 64 59
82 41 38
68 47 71
45 4 85
66 35 77
78 63 5
38 41 78
31 2 33
41 57 35
87 11 76
8 84 9
1 70 1
52 53 10
24 25 55
24 52 92
43 88 86
67 2 53
31 43 8
4 83 30
61 59 12
47 25 31
27 40 56
67 78 16
48 24 35
60 22 22
47 81 21
34 62 72
56 28 12
11 81 6
32 76 94
9 84 48
72 5 36
12 14 57
69 36 76
63 33 59
70 12 58
36 1 14
84 77 99
26 49 83
20 31 36
75 66 38
1 32 30
84 49 76
4 37 37
13 83 37
32 15 33
75 4 20
77 31 72
10 76 78
46 32 61
32 30 93
48 3 81
25 87 93
78 28 41
34 29 15
62 8 -5
2 74 27
4 42 76
87 13 100
33 48 78
63 41 10
20 66 94
29 51 45
73 51 51
77 79 42
34 74 15
53 75 96
7 59 -2
5 83 29
44 56 -5
82 32 71
36 90 9
81 80 9
25 9 39
17 72 20
38 70 62
29 15 -5
25 47 64
21 15 60
8 66 16
56 69 92
29 2 53
77 56 6
78 34 1
77 38 12
26 6 6
3 38 93
70 14 55
25 33 68
13 41 -4
41 44 -1
0 67 28
26 12 1
88 51 6
30 15 92
85 11 29
32 69 72
20 65 93
16 12 14
54 54 55
82 42 56
84 22 69
80 39 4
51 66 89
77 16 93
11 79 24
63 71 76
66 27 100
65 9 38
11 68 35
28 17 38
14 23 2
7 14 31
7 41 -3
35 68 77
46 72 54
55 51 58
26 1 76
57 7 6
16 39 89
3 50 52
64 74 12
36 34 31
84 8 84
8 17 14
42 90 9
90 53 39
82 75 48
46 83 82
27 35 100
17 12 99
87 38 26
40 9 51
61 86 54
30 31 22
52 78 75
16 8 17
28 65 82
20 7 60
71 23 40
55 39 56
22 87 23
22 65 12
23 90 74
57 78 90
7 24 39
81 82 54
72 81 34
6 57 48
27 58 19
35 71 70
38 23 31
71 50 67
16 31 29
90 80 0
40 28 55
8 5 57
48 18 80
64 88 -5
58 7 3
61 62 88
74 38 21
59 41 3
89 61 50
30 47 -1
54 25 75
59 28 12
64 69 87
74 23 68
65 56 94
79 19 -2
67 40 63
17 24 56
22 20 87
34 62 51
6 53 32
45 69 41
33 1 48
28 67 8
86 31 18
23 73 62
40 41 -5
62 28 16
29 15 1
41 53 100
12 45 69
20 40 79
35 17 -3
79 31 96
58 31 55
85 83 28
14 30 4
22 57 72
4 62 44
72 32 29
51 37 17
67 77 25
74 17 51
42 46 92
41 8 22
60 55 78
63 3 25
85 21 69
79 66 75
3 80 19
81 85 66
30 5 98
9 59 47
34 12 39
67 64 66
31 75 11
73 29 43
14 72 10
60 57 95
32 27 74
4 80 87
24 23 89
40 57 -5
73 36 64
64 69 58
6 14 5
3 7 95
33 7 10
77 56 8
80 51 10
64 14 24
23 16 32
15 55 72
73 23 58
40 66 81
41 42 32
32 59 36
3 22 53
49 48 77
11 17 64
80 39 66
0 77 93
43 69 35
5 22 1
58 16 70
6 41 39
54 50 41
44 23 59
24 87 39
19 47 22
69 28 57
26 11 84
65 43 6
49 26 72
8 45 44
30 68 25
50 33 24
45 50 41
55 4 39
16 38 54
33 90 27
54 62 41
58 17 31
66 44 80
14 70 17
7 31 89
25 16 86
76 3 10
49 74 73
36 51 -4
10 3 53
24 58 47
55 80 19
5 90 99
32 53 6
57 66 66
62 35 5
59 41 19
38 79 93
62 17 1
33 72 49
5 11 73
84 0 22
55 10 81
10 24 -2
0 65 25
49 3 53
81 40 65
51 61 91
50 85 8
25 26 22
41 15 37
59 75 66
62 24 98
90 21 12
41 20 87
41 46 60
18 64 96
86 18 33
69 10 89
4 84 98
60 36 68
20 54 65
39 12 52
0 83 19
56 39 36
88 57 12
49 46 24
81 81 7
46 4 92
83 47 69
14 20 50
48 51 35
48 75 39
51 37 35
80 78 31
82 78 27
48 75 89
19 61 7
54 73 90
33 30 38
47 14 90
32 18 69
68 61 35
66 58 63
41 88 80
18 28 12
50 41 5
5 60 23
27 48 29
43 61 15
87 2 14
31 55 87
69 45 3
19 56 -2
5 67 54
52 34 86
21 33 14
26 24 53
24 52 67
88 25 26
20 47 -5
24 20 35
17 2 74
48 30 89
67 45 20
38 38 13
71 34 50
16 83 35
29 10 64
12 74 63
87 34 99
80 59 1
16 7 79
25 21 64
86 72 90
9 37 44
73 48 75
83 33 72
50 49 42
16 33 28
44 87 23
31 53 2
24 23 1
18 81 54
90 89 70
44 74 16
59 46 79
83 42 35
58 50 84
45 17 61
77 16 49
87 53 68
56 33 24
52 30 35
63 47 77
23 32 87
9 74 0
32 30 81
12 56 15
30 52 6
61 45 22
22 18 74
66 0 95
34 66 6
37 87 26
76 15 32
86 43 55
21 7 87
44 22 19
8 57 91
32 6 89
42 7 51
41 48 91
85 31 59
56 61 88
51 71 -5
79 39 24
76 84 18
7 84 91
72 59 24
86 59 100
82 16 21
35 5 73
10 9 -3
64 19 46
48 20 21
30 5 51
77 13 35
20 11 24
56 54 38
35 15 61
81 11 50
31 86 68
82 73 80
85 63 69
30 19 24
34 8 48
82 2 57
6 72 84
16 16 54
82 29 93
62 72 98
0 5 27
59 41 36
66 3 7
11 40 24
41 22 85
49 75 50
25 39 77
5 9 37
51 59 41
25 59 9
42 65 59
2 46 24
