73 493
59 61 -17
61 44 -59
44 36 -64
36 37 -84
37 43 89
43 17 42
17 3 -23
3 0 95
0 52 -63
52 34 -93
34 35 23
35 20 77
20 72 -85
72 65 82
65 46 -65
46 69 39
69 28 -67
28 6 -7
6 12 -50
12 31 16
31 42 90
42 27 -61
27 70 79
70 67 20
67 68 1
68 39 8
39 41 67
41 33 -64
33 8 57
8 58 18
58 62 79
62 38 47
38 56 31
56 18 -92
18 60 -31
60 5 47
5 30 -17
30 45 -40
45 55 57
55 11 -18
11 51 35
51 2 99
2 15 -19
15 29 -20
29 24 -22
24 40 -44
40 32 91
32 63 -60
63 47 -79
47 71 34
71 25 -56
25 7 -37
7 23 67
23 13 1
13 4 -44
4 10 -26
10 16 91
16 54 87
54 14 36
14 64 14
64 26 -29
26 19 -8
19 9 -17
9 48 11
48 21 -20
21 57 83
57 1 -81
1 53 43
53 50 45
50 22 -96
22 49 -74
49 66 71
62 44 -78
7 2 67
13 16 12
18 49 67
53 58 -99
72 4 47
31 62 61
29 63 76
70 62 -30
25 68 -34
15 51 67
56 29 84
70 0 -27
3 21 -42
65 60 -38
30 33 30
51 54 -82
54 1 36
70 7 40
35 32 -100
25 47 -70
22 17 -99
8 55 89
19 39 -28
67 69 44
61 42 -31
65 4 51
32 42 -84
7 10 68
40 72 -16
21 11 86
63 48 -16
62 63 43
25 5 79
48 45 55
27 31 11
42 18 19
5 71 -66
50 15 -96
26 11 -87
8 30 3
26 36 9
67 0 -10
7 14 99
46 55 78
23 72 -39
18 70 20
42 46 -8
64 57 99
2 38 -38
36 61 50
5 67 -6
34 15 -68
4 54 -94
19 65 15
35 21 -69
41 55 -80
50 11 -41
35 45 -11
28 22 -87
15 43 -77
35 36 53
29 61 -65
38 23 51
42 52 -65
27 56 3
31 3 -85
51 66 95
69 26 -62
72 13 11
71 63 21
15 12 -52
21 18 -61
1 19 96
0 23 -43
60 66 52
40 20 23
62 20 -92
54 43 19
16 55 -18
67 65 78
52 17 -26
65 32 40
31 61 -76
3 61 25
25 40 2
52 17 53
56 52 83
36 54 64
7 54 43
17 10 40
67 59 -72
63 17 -48
12 51 8
2 21 93
16 21 -15
31 19 -67
64 13 66
1 0 -41
0 2 1
57 29 -53
45 26 91
29 40 -26
39 64 -12
48 28 21
10 45 68
60 5 22
25 29 31
22 66 39
46 43 -53
54 9 23
31 29 -56
70 58 54
72 61 -33
66 44 -26
0 56 55
14 53 30
15 55 -90
10 66 15
20 24 -35
27 39 78
50 57 26
64 49 -40
13 65 25
20 38 1
15 66 -1
59 1 -43
47 65 -36
57 17 -81
13 47 29
8 43 -39
20 54 -24
46 14 -13
58 48 1
53 46 4
0 68 -99
44 65 50
20 13 85
53 26 18
70 47 98
70 39 -15
57 7 27
67 42 -34
58 27 95
43 55 -7
2 3 -46
25 72 20
20 66 -88
32 36 -16
29 3 -34
38 19 -10
39 70 -10
56 64 -65
40 17 30
39 26 83
37 37 63
21 33 -41
57 9 -7
5 14 28
28 30 42
49 58 -82
50 27 -39
5 1 80
35 10 24
60 3 23
4 22 -20
56 34 58
36 19 42
31 69 -44
70 70 19
69 69 -18
9 15 93
45 38 -31
49 37 -81
26 71 94
44 51 -85
63 41 -20
30 60 70
48 14 -64
46 65 -6
11 17 -13
15 59 -81
46 1 -38
58 42 30
35 22 -51
59 67 84
9 63 -68
35 12 47
18 55 -49
2 3 -22
3 5 85
22 2 -65
39 65 100
9 15 63
29 0 66
41 57 -60
5 52 72
62 62 92
72 1 -37
24 25 8
65 59 21
8 55 73
56 40 -62
69 67 4
46 53 -47
0 36 27
40 71 -69
34 3 -41
64 21 67
13 40 -30
65 18 71
53 48 -32
2 37 -11
0 64 -50
66 66 23
62 63 27
27 45 -40
23 59 -46
44 60 43
15 38 -31
28 35 -38
51 4 -53
0 33 9
59 62 26
47 51 -28
29 47 35
23 18 71
36 25 66
8 68 4
13 48 21
12 9 54
43 68 79
44 34 65
3 61 -41
55 43 -82
5 12 8
19 41 -70
49 13 -43
32 16 -80
55 38 49
15 2 30
11 24 16
5 25 -35
64 49 68
14 35 -37
59 2 48
69 11 -61
56 54 -1
56 21 -31
48 20 -91
26 30 -73
17 4 -22
34 32 3
23 56 -73
19 67 -25
12 37 -29
72 8 -4
69 51 -85
11 16 39
32 51 -71
58 21 -85
9 67 73
55 20 -50
65 8 9
52 17 64
18 37 -80
22 17 -76
55 27 43
28 67 -56
64 11 -64
34 62 -30
19 27 72
62 2 -1
8 59 -94
5 10 -29
68 50 99
26 63 -59
27 54 15
10 24 -16
39 53 29
49 22 -86
4 40 -56
29 53 98
71 11 -4
53 54 -55
28 17 -41
31 5 48
44 24 96
62 27 -34
13 27 50
51 64 97
31 10 13
28 30 -38
22 3 -38
5 68 -31
0 44 11
70 30 -82
22 16 99
67 48 -29
33 8 5
45 20 79
26 3 20
2 71 100
10 40 -13
65 14 47
45 26 43
54 14 9
17 66 37
60 0 -11
25 52 94
60 11 -83
35 32 60
50 14 83
63 19 -26
64 60 58
0 26 -86
53 7 91
0 32 -98
67 59 -8
32 49 -2
44 46 36
10 68 -94
29 19 -17
38 8 -19
72 14 -65
21 35 28
22 12 -78
62 23 -35
3 15 87
24 30 -26
51 30 62
65 39 -22
65 60 60
50 60 77
48 28 14
27 17 26
54 61 -6
42 66 -46
50 2 10
33 11 24
67 41 31
4 59 -76
24 52 -5
14 18 -86
5 71 94
67 5 33
54 21 -84
49 38 -9
43 60 -7
6 25 31
12 26 65
15 41 -72
14 72 84
65 41 74
63 17 18
69 72 51
2 26 70
5 2 24
55 5 -97
26 49 31
70 65 -30
62 12 -66
65 18 -6
21 51 4
17 62 69
7 30 -15
44 68 -85
21 0 73
47 10 -11
30 27 85
53 42 91
26 6 -31
18 60 18
49 18 -28
51 16 -22
22 54 88
70 26 -81
67 63 61
62 40 -41
45 10 61
19 48 47
34 41 42
3 20 11
2 23 26
66 56 -55
51 3 51
8 15 -86
60 3 22
12 59 47
6 41 -67
47 16 -75
11 32 29
40 71 -94
11 7 91
21 27 -41
41 69 97
60 36 -88
57 69 62
7 45 -97
59 71 -94
29 16 -54
39 66 -1
3 62 -28
40 37 -50
11 53 -45
10 67 -70
0 26 95
49 54 -75
67 15 78
33 41 -63
54 68 78
36 2 -92
21 7 87
39 25 48
23 36 74
45 49 91
14 16 -6
34 50 67
44 28 -14
22 18 62
3 16 -8
